"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"84","Eptesicus fuscus",364,2.1,65,14.9428846153846,0.276050694523735,17.49,9.22698415597131
"85","Erethizon dorsatum",24,3.6,4937905.48315971,406827.692021418,245587.63168711,7419.46,1.62633691801826
"86","Erignathus barbatus",76,1,144022211.507364,36331846.6289687,5378654.84313447,279999.99,6.70276262195681
"87","Eumetopias jubatus",17,0,370342829.590365,57481365.1584583,24662354.8030321,382466.74,2.31522491969982
"88","Geomys breviceps",11,64,234,161.318181818182,14.9167801679355,136.47,1.66578722341129
"89","Geomys bursarius",164,91,394,206.432926829268,4.41049736301855,203.75,0.608304825610892
"90","Geomys pinetis",35,34,274.8,151.632,11.2988103991958,201.15,4.3825852678725
"91","Glaucomys sabrinus",544,13.6,5223.9669149707,146.581639779491,11.8537058659378,137.53,0.76361265260524
"92","Glaucomys volans",26,36.7,97.59,63.1438461538462,2.64445795387684,71.9,3.31113369880474
"93","Glossophaga commissarisi",60,5,13.2,7.21666666666667,0.236454110007332,9.15,8.17635748971917
"94","Glossophaga soricina",140,4,5051013,36089.1528571429,36078.5888691072,9.97,1.00001646372694
"95","Grampus griseus",14,200,360605.9,163383.585714286,31933.4557194183,387500,7.01823242228783
"96","Graomys domorum",26,23,85,51.0192307692308,3.01081138683588,102,16.9325682285086
"97","Graomys griseoflavus",45,19,106,55.4,3.01463601501579,68.32,4.28575786119649
"98","Gulo gulo",140,4.5,7149675.93098684,2972468.03276291,154575.115521279,12792.49,19.1471669471628
"99","Habromys lophurus",44,19.5,35,28.8068181818182,0.574054952096172,40,19.4984500652938
"100","Haplonycteris fischeri",117,12.25,27,17.5662393162393,0.199639401066607,18.25,3.42497863702044
"101","Harpyionycteris whiteheadi",24,58,150,111.5,4.90082808737758,135.48,4.89305063806709
"102","Heteromys anomalus",15,22,87.1,47.8733333333333,3.69914361603649,69.06,5.72745177419402
"103","Heteromys desmarestianus",80,33,110,68.28,1.7293075002381,74,3.30768240998922
"104","Hipposideros ater",36,4.3,38,12.6944444444444,2.22156527988015,5.86,3.07640946063631
"105","Hipposideros diadema",149,23,86.5,36.6503355704698,0.767730810191537,46.9,13.35059671107
"106","Hipposideros obscurus",13,7,18,9.45384615384615,0.869763848336873,9.6,0.168038538774996
"107","Hipposideros pygmaeus",12,2.7,7,3.42916666666667,0.332999359207076,3.53,0.302803385488288
"108","Histriophoca fasciata",133,15,51436504.109773,22112570.1437071,1201584.05825409,90000,18.3279480053239
"109","Lagenorhynchus obliquidens",19,4645,41149203.2878184,2245957.80462202,2161300.01164478,109694.46,0.988415922413424
"110","Lasionycteris noctivagans",123,4,40.5,10.2861788617886,0.326896042387573,11.02,2.2448149963876
"111","Lasiurus borealis",49,0,22.7,10.1979591836735,0.568665116981352,12.33,3.74920274280943
"112","Lasiurus cinereus",59,2.3,57,22.6567796610169,0.924959488290302,27.06,4.76044669493794
"113","Lasiurus intermedius",17,2,27.4,13.8,2.27854442701527,22.96,4.02011033508745
"114","Lemmiscus curtatus",21,8,26,19.252380952381,1.09188825190517,28.27,8.25873804566058
"115","Lemmus sibiricus",26,23,82.2,52.4730769230769,2.5835727063495,53.81,0.517470661320039
"116","Lemmus trimucronatus",432,4.2,92,36.6291666666667,0.772295544651281,69.82,42.9768546034021
"117","Leptonycteris nivalis",28,18.6,415,41.4285714285714,13.8473096895642,24.26,1.23984888136865
"118","Leptonycteris yerbabuenae",15,10.35,25,20.61,1.07517661893512,22.24,1.51602999106731
"119","Lepus americanus",536,1.1,2542088.55484329,12376.8152099099,5351.75340961385,1568.42,2.01959888332931
"120","Lepus californicus",12,1,1440223.56656898,292415.993049227,154839.835853643,2422.48,1.87286115004238
