"","binomial","intercept","slope","resid.std.err","df","std.err.slope","std.err.intercept","r.squared","sample.size"
"21","Artibeus obscurus",1.45756271165392,0.0475979889929956,0.0531293297720732,72,0.00947744261627094,0.0208939172892601,0.259433673761476,74
"22","Artibeus lituratus",1.61622481457928,0.0520487176807264,0.212987725390752,245,0.0206605811652868,0.0474366649332101,0.0252500441049106,247
"23","Artibeus jamaicensis",1.50880352907369,0.048529437186684,0.170691892460318,236,0.0168447198594944,0.0375496375217246,0.0339749864946177,238
"24","Artibeus intermedius",0.134131524734116,0.843055624880195,0.0579855225123597,11,0.430983390162841,0.824903399456793,0.258080633988518,13
"25","Artibeus gnomus",-0.806564905108197,1.05831925135551,0.0591805398290525,20,0.668154065593313,1.1458439843868,0.11146184962138,22
"26","Artibeus concolor",-0.0777684149470692,0.74447591364327,0.0365513257459621,12,0.53476344477346,0.966240937854308,0.139050983947727,14
"27","Artibeus anderseni",1.14175545396009,-0.0366767527251877,0.057355824110545,26,0.00940462199154505,0.0327070112842935,0.369069008801756,28
"28","Artibeus (Dermanura)",1.90828997680486,-0.617097255343209,0.0161520856621677,16,0.0656478417985278,0.116384644696613,0.846687726647952,18
"29","Arborimus longicaudus",-2.88758279734733,1.92706283952728,0.0726315893068036,67,0.342726226146609,0.762555370915915,0.32059212472494,69
"30","Arborimus albipes",-3.56370386635247,2.21240395107907,0.0783758117881544,98,0.162143230303022,0.35379358198733,0.655147200194165,100
"31","Apomys microdon",-0.59122774586344,0.869312887196292,0.0608978927613717,18,0.704833458973318,1.68044943581937,0.0779243618173495,20
"32","Apomys insignis",-4.53556978921518,2.54616850389224,0.0652354679408166,22,0.50943688050617,1.20382654449062,0.531716245425382,24
"33","Apomys datae",0.423568064814689,0.618519379800295,0.0518277111454861,20,0.317762148717791,0.770259973583168,0.159268416896445,22
"34","Apodemus sylvaticus",2.74855432296843,-0.683378464491431,0.0819890753290198,8,0.182207812132522,0.383017355500246,0.637460849069457,10
"35","Apodemus draco",0.771252253006843,0.527535494881434,0.0236689746284301,17,0.137145406594113,0.313418276158574,0.465339557027569,19
"36","Aplodontia rufa",-3.62422047782226,2.622288345856,0.206248656866284,99,0.413959257790538,1.02819445413144,0.288424185302287,101
"37","Antrozous pallidus",2.02479943836223,-0.37771653891566,0.184511300635139,62,0.498188335769356,1.01449808918048,0.00918639603315813,64
"38","Anoura geoffroyi",1.0551177521211,0.0329376139036694,0.174413903417283,42,0.0635302022394659,0.12241644187231,0.00635922087238643,44
"39","Ametrida centurio",-2.79624782575139,2.19893050906298,0.106091795123293,13,0.969890542126336,1.62288310736076,0.283358461737384,15
"40","Alopex lagopus",3.28726751759817,0.162306162719601,0.238628144537593,36,0.118451783693872,0.157501633606143,0.0495684299877388,38
"41","Akodon tucumanensis",-5.18528001587143,2.96676443495269,0.0637609784026596,20,0.415277140739672,0.92453782779504,0.71845887917606,22
"42","Akodon toba",-8.00747991812537,4.1715899525301,0.0363096715388852,10,0.490872346853137,1.13062994210247,0.878377208582184,12
"43","Akodon simulator",0.886618676074661,0.307520238230327,0.152761528189799,33,0.135338564260799,0.304921017022856,0.135288685395226,35
"44","Akodon puer",2.33208722570232,-0.26023981739738,0.0749914331701023,13,0.152451279696622,0.674167773846888,0.18310776378438,15
"45","Akodon montensis",-3.74039401497216,2.3180586897463,0.0621353529390219,21,0.30836321877327,0.715913697834146,0.729066492595678,23
"46","Akodon mimus",1.28607960603556,-0.0010126047872595,0.0715708731879936,52,0.00948416614534018,0.0377313414169287,0.000219171008918454,54
"47","Akodon fumeus",1.18999926019341,0.015941385743679,0.111425806623892,26,0.0197060473044801,0.0746473337551469,0.0245518345026631,28
"48","Akodon dolores",-4.88214001341163,2.8458200965286,0.0758912643712307,15,0.535715820057466,1.22061390731996,0.65293267887471,17
"49","Akodon dayi",-14.4085976161626,3.85272249504144,0.197914220577522,34,2.37670703728769,9.85050867963579,0.0717420701133837,36
"50","Akodon boliviensis",1.20839439356948,0.00112693005627203,0.0743876598699332,27,0.0117983861425069,0.0390893651699259,0.000337783340330649,29
"51","Akodon albiventer",1.45647215733237,-0.033669332376345,0.0671941493944419,15,0.0196675641311529,0.0797561567263178,0.163444830194897,17
"52","Akodon aerosus",1.50064049843457,-0.0296561410484531,0.145024794870969,24,0.0263234813739669,0.0867997236103362,0.0502285339081751,26
"53","Abrothrix olivaceus",-2.58567953676827,1.79270004914623,0.108524973740133,15,0.463375496470374,1.02742892355492,0.499457668328466,17
